date,year,city,region,pm25,pm10,aqi,season,festival_flag,dominant_cause,synthetic_annual_pm25,pm25_adjusted_real,pm10_adjusted_real,real_data_anchor
2024-02-03,2024,Delhi,Anand Vihar,137.9,309.7,212,Pre-monsoon,0,Dust + construction,133.71633879781422,105.2,236.3,1
2024-02-04,2024,Delhi,Anand Vihar,99.6,221.8,168,Pre-monsoon,0,Dust + construction,133.71633879781422,76.0,169.2,1
2024-02-05,2024,Delhi,Anand Vihar,100.5,196.3,129,Pre-monsoon,0,Vehicular emissions,133.71633879781422,76.7,149.8,1
2024-02-06,2024,Delhi,Anand Vihar,116.2,238.0,199,Pre-monsoon,0,Vehicular emissions,133.71633879781422,88.6,181.5,1
2024-02-07,2024,Delhi,Anand Vihar,155.3,326.8,258,Pre-monsoon,0,Vehicular emissions,133.71633879781422,118.5,249.4,1
2024-02-08,2024,Delhi,Anand Vihar,121.9,223.6,299,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.0,170.6,1
2024-02-09,2024,Delhi,Anand Vihar,146.4,270.3,201,Pre-monsoon,0,Vehicular emissions,133.71633879781422,111.7,206.2,1
2024-02-10,2024,Delhi,Anand Vihar,101.6,199.3,105,Pre-monsoon,0,Vehicular emissions,133.71633879781422,77.5,152.0,1
2024-02-11,2024,Delhi,Anand Vihar,118.2,222.2,146,Pre-monsoon,0,Vehicular emissions,133.71633879781422,90.2,169.6,1
2024-02-12,2024,Delhi,Anand Vihar,139.5,314.9,212,Pre-monsoon,0,Dust + construction,133.71633879781422,106.4,240.2,1
2024-02-13,2024,Delhi,Anand Vihar,131.1,296.7,231,Pre-monsoon,0,Dust + construction,133.71633879781422,100.0,226.3,1
2024-02-14,2024,Delhi,Anand Vihar,114.2,207.2,106,Pre-monsoon,0,Vehicular emissions,133.71633879781422,87.1,158.0,1
2024-02-15,2024,Delhi,Anand Vihar,129.2,263.5,217,Pre-monsoon,0,Vehicular emissions,133.71633879781422,98.6,201.1,1
2024-02-16,2024,Delhi,Anand Vihar,78.5,168.1,148,Pre-monsoon,0,Vehicular emissions,133.71633879781422,59.9,128.3,1
2024-02-17,2024,Delhi,Anand Vihar,139.4,329.5,226,Pre-monsoon,0,Dust + construction,133.71633879781422,106.3,251.3,1
2024-02-18,2024,Delhi,Anand Vihar,95.4,210.8,196,Pre-monsoon,0,Dust + construction,133.71633879781422,72.8,160.9,1
2024-02-19,2024,Delhi,Anand Vihar,133.4,288.1,219,Pre-monsoon,0,Vehicular emissions,133.71633879781422,101.8,219.9,1
2024-02-20,2024,Delhi,Anand Vihar,130.7,238.1,247,Pre-monsoon,0,Vehicular emissions,133.71633879781422,99.7,181.6,1
2024-02-21,2024,Delhi,Anand Vihar,95.3,188.4,171,Pre-monsoon,0,Vehicular emissions,133.71633879781422,72.7,143.7,1
2024-02-22,2024,Delhi,Anand Vihar,77.8,173.2,148,Pre-monsoon,0,Dust + construction,133.71633879781422,59.3,132.0,1
2024-02-23,2024,Delhi,Anand Vihar,100.5,193.9,112,Pre-monsoon,0,Vehicular emissions,133.71633879781422,76.7,148.0,1
2024-02-24,2024,Delhi,Anand Vihar,146.2,282.5,298,Pre-monsoon,0,Vehicular emissions,133.71633879781422,111.5,215.4,1
2024-02-25,2024,Delhi,Anand Vihar,145.9,270.5,269,Pre-monsoon,0,Vehicular emissions,133.71633879781422,111.3,206.4,1
2024-02-26,2024,Delhi,Anand Vihar,122.2,232.0,201,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.2,176.9,1
2024-02-27,2024,Delhi,Anand Vihar,123.3,243.5,266,Pre-monsoon,0,Vehicular emissions,133.71633879781422,94.1,185.8,1
2024-02-28,2024,Delhi,Anand Vihar,135.7,312.7,221,Pre-monsoon,0,Dust + construction,133.71633879781422,103.5,238.5,1
2024-02-29,2024,Delhi,Anand Vihar,121.3,282.1,243,Pre-monsoon,0,Dust + construction,133.71633879781422,92.5,215.1,1
2024-03-01,2024,Delhi,Anand Vihar,96.8,203.0,128,Pre-monsoon,0,Vehicular emissions,133.71633879781422,73.8,154.8,1
2024-03-02,2024,Delhi,Anand Vihar,131.9,290.3,213,Pre-monsoon,0,Dust + construction,133.71633879781422,100.6,221.4,1
2024-03-03,2024,Delhi,Anand Vihar,165.2,312.9,236,Pre-monsoon,0,Vehicular emissions,133.71633879781422,126.0,238.7,1
2024-03-04,2024,Delhi,Anand Vihar,139.5,302.0,205,Pre-monsoon,0,Vehicular emissions,133.71633879781422,106.4,230.3,1
2024-03-05,2024,Delhi,Anand Vihar,99.9,220.3,139,Pre-monsoon,0,Dust + construction,133.71633879781422,76.2,168.0,1
2024-03-06,2024,Delhi,Anand Vihar,136.9,254.4,240,Pre-monsoon,0,Vehicular emissions,133.71633879781422,104.4,194.0,1
2024-03-07,2024,Delhi,Anand Vihar,97.8,195.2,160,Pre-monsoon,0,Vehicular emissions,133.71633879781422,74.6,148.9,1
2024-03-08,2024,Delhi,Anand Vihar,86.2,195.5,177,Pre-monsoon,0,Dust + construction,133.71633879781422,65.8,149.2,1
2024-03-09,2024,Delhi,Anand Vihar,132.8,306.4,226,Pre-monsoon,0,Dust + construction,133.71633879781422,101.3,233.7,1
2024-03-10,2024,Delhi,Anand Vihar,157.9,339.5,269,Pre-monsoon,0,Vehicular emissions,133.71633879781422,120.4,258.9,1
2024-03-11,2024,Delhi,Anand Vihar,88.9,207.7,112,Pre-monsoon,0,Dust + construction,133.71633879781422,67.8,158.4,1
2024-03-12,2024,Delhi,Anand Vihar,99.4,198.9,194,Pre-monsoon,0,Vehicular emissions,133.71633879781422,75.8,151.7,1
2024-03-13,2024,Delhi,Anand Vihar,136.3,327.2,205,Pre-monsoon,0,Dust + construction,133.71633879781422,104.0,249.7,1
2024-03-14,2024,Delhi,Anand Vihar,138.9,253.4,221,Pre-monsoon,0,Vehicular emissions,133.71633879781422,106.0,193.4,1
2024-03-15,2024,Delhi,Anand Vihar,125.3,299.8,285,Pre-monsoon,0,Dust + construction,133.71633879781422,95.6,228.7,1
2024-03-16,2024,Delhi,Anand Vihar,90.4,184.6,120,Pre-monsoon,0,Vehicular emissions,133.71633879781422,69.0,140.9,1
2024-03-17,2024,Delhi,Anand Vihar,114.1,234.1,196,Pre-monsoon,0,Vehicular emissions,133.71633879781422,87.0,178.5,1
2024-03-18,2024,Delhi,Anand Vihar,119.3,280.1,180,Pre-monsoon,0,Dust + construction,133.71633879781422,91.0,213.7,1
2024-03-19,2024,Delhi,Anand Vihar,67.1,154.9,137,Pre-monsoon,0,Dust + construction,133.71633879781422,51.2,118.2,1
2024-03-20,2024,Delhi,Anand Vihar,108.8,228.8,112,Pre-monsoon,0,Vehicular emissions,133.71633879781422,83.0,174.5,1
2024-03-21,2024,Delhi,Anand Vihar,141.6,329.5,252,Pre-monsoon,0,Dust + construction,133.71633879781422,108.0,251.3,1
2024-03-22,2024,Delhi,Anand Vihar,118.4,247.8,127,Pre-monsoon,0,Vehicular emissions,133.71633879781422,90.3,189.0,1
2024-03-23,2024,Delhi,Anand Vihar,105.4,215.2,184,Pre-monsoon,0,Vehicular emissions,133.71633879781422,80.4,164.2,1
2024-03-24,2024,Delhi,Anand Vihar,113.4,262.5,187,Pre-monsoon,0,Dust + construction,133.71633879781422,86.5,200.2,1
2024-03-25,2024,Delhi,Anand Vihar,99.7,238.7,186,Pre-monsoon,0,Dust + construction,133.71633879781422,76.1,182.2,1
2024-03-26,2024,Delhi,Anand Vihar,75.6,146.8,169,Pre-monsoon,0,Vehicular emissions,133.71633879781422,57.7,112.0,1
2024-03-27,2024,Delhi,Anand Vihar,155.2,336.7,282,Pre-monsoon,0,Vehicular emissions,133.71633879781422,118.4,256.9,1
2024-03-28,2024,Delhi,Anand Vihar,110.4,255.6,198,Pre-monsoon,0,Dust + construction,133.71633879781422,84.2,194.9,1
2024-03-29,2024,Delhi,Anand Vihar,145.2,267.1,264,Pre-monsoon,0,Vehicular emissions,133.71633879781422,110.8,203.8,1
2024-03-30,2024,Delhi,Anand Vihar,155.7,281.5,211,Pre-monsoon,0,Vehicular emissions,133.71633879781422,118.8,214.8,1
2024-03-31,2024,Delhi,Anand Vihar,111.5,216.3,106,Pre-monsoon,0,Vehicular emissions,133.71633879781422,85.1,165.1,1
2024-04-01,2024,Delhi,Anand Vihar,114.4,263.4,161,Pre-monsoon,0,Dust + construction,133.71633879781422,87.3,201.0,1
2024-04-02,2024,Delhi,Anand Vihar,163.2,366.2,257,Pre-monsoon,0,Dust + construction,133.71633879781422,124.5,279.4,1
2024-04-03,2024,Delhi,Anand Vihar,116.3,238.1,198,Pre-monsoon,0,Vehicular emissions,133.71633879781422,88.7,181.6,1
2024-04-04,2024,Delhi,Anand Vihar,109.2,221.2,193,Pre-monsoon,0,Vehicular emissions,133.71633879781422,83.3,168.7,1
2024-04-05,2024,Delhi,Anand Vihar,134.2,299.9,273,Pre-monsoon,0,Dust + construction,133.71633879781422,102.4,228.8,1
2024-04-06,2024,Delhi,Anand Vihar,43.2,87.6,99,Pre-monsoon,0,Vehicular emissions,133.71633879781422,33.0,66.9,1
2024-04-07,2024,Delhi,Anand Vihar,125.3,266.6,202,Pre-monsoon,0,Vehicular emissions,133.71633879781422,95.6,203.4,1
2024-04-08,2024,Delhi,Anand Vihar,122.8,258.6,296,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.7,197.3,1
2024-04-09,2024,Delhi,Anand Vihar,117.2,211.9,127,Pre-monsoon,0,Vehicular emissions,133.71633879781422,89.4,161.6,1
2024-04-10,2024,Delhi,Anand Vihar,105.8,252.5,175,Pre-monsoon,0,Dust + construction,133.71633879781422,80.7,192.6,1
2024-04-11,2024,Delhi,Anand Vihar,78.1,155.7,140,Pre-monsoon,0,Vehicular emissions,133.71633879781422,59.6,118.8,1
2024-04-12,2024,Delhi,Anand Vihar,123.1,276.9,230,Pre-monsoon,0,Dust + construction,133.71633879781422,93.9,211.2,1
2024-04-13,2024,Delhi,Anand Vihar,152.8,299.1,288,Pre-monsoon,0,Vehicular emissions,133.71633879781422,116.6,228.2,1
2024-04-14,2024,Delhi,Anand Vihar,166.3,368.9,278,Pre-monsoon,0,Dust + construction,133.71633879781422,126.9,281.5,1
2024-04-15,2024,Delhi,Anand Vihar,116.0,239.3,115,Pre-monsoon,0,Vehicular emissions,133.71633879781422,88.5,182.6,1
2024-04-16,2024,Delhi,Anand Vihar,107.9,247.0,108,Pre-monsoon,0,Dust + construction,133.71633879781422,82.3,188.4,1
2024-04-17,2024,Delhi,Anand Vihar,130.5,271.2,209,Pre-monsoon,0,Vehicular emissions,133.71633879781422,99.5,206.8,1
2024-04-18,2024,Delhi,Anand Vihar,122.8,242.5,263,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.7,185.0,1
2024-04-19,2024,Delhi,Anand Vihar,151.1,357.2,260,Pre-monsoon,0,Dust + construction,133.71633879781422,115.3,272.6,1
2024-04-20,2024,Delhi,Anand Vihar,109.0,241.7,135,Pre-monsoon,0,Dust + construction,133.71633879781422,83.1,184.3,1
2024-04-21,2024,Delhi,Anand Vihar,151.7,344.0,282,Pre-monsoon,0,Dust + construction,133.71633879781422,115.7,262.4,1
2024-04-22,2024,Delhi,Anand Vihar,72.4,167.7,144,Pre-monsoon,0,Dust + construction,133.71633879781422,55.2,127.9,1
2024-04-23,2024,Delhi,Anand Vihar,109.0,260.6,124,Pre-monsoon,0,Dust + construction,133.71633879781422,83.1,198.7,1
2024-04-24,2024,Delhi,Anand Vihar,97.1,228.8,156,Pre-monsoon,0,Dust + construction,133.71633879781422,74.1,174.6,1
2024-04-25,2024,Delhi,Anand Vihar,112.6,240.0,161,Pre-monsoon,0,Vehicular emissions,133.71633879781422,85.9,183.1,1
2024-04-26,2024,Delhi,Anand Vihar,74.2,133.6,138,Pre-monsoon,0,Vehicular emissions,133.71633879781422,56.6,101.9,1
2024-04-27,2024,Delhi,Anand Vihar,92.2,178.3,153,Pre-monsoon,0,Vehicular emissions,133.71633879781422,70.3,135.9,1
2024-04-28,2024,Delhi,Anand Vihar,138.0,261.2,279,Pre-monsoon,0,Vehicular emissions,133.71633879781422,105.3,199.3,1
2024-04-29,2024,Delhi,Anand Vihar,102.3,212.7,113,Pre-monsoon,0,Vehicular emissions,133.71633879781422,78.0,162.2,1
2024-04-30,2024,Delhi,Anand Vihar,102.8,232.7,194,Pre-monsoon,0,Dust + construction,133.71633879781422,78.4,177.5,1
2024-05-01,2024,Delhi,Anand Vihar,97.8,199.1,114,Pre-monsoon,0,Vehicular emissions,133.71633879781422,74.6,151.9,1
2024-05-02,2024,Delhi,Anand Vihar,127.8,234.8,254,Pre-monsoon,0,Vehicular emissions,133.71633879781422,97.5,179.1,1
2024-05-03,2024,Delhi,Anand Vihar,119.4,284.5,129,Pre-monsoon,0,Dust + construction,133.71633879781422,91.1,217.1,1
2024-05-04,2024,Delhi,Anand Vihar,94.5,213.0,115,Pre-monsoon,0,Dust + construction,133.71633879781422,72.1,162.5,1
2024-05-05,2024,Delhi,Anand Vihar,121.0,223.9,284,Pre-monsoon,0,Vehicular emissions,133.71633879781422,92.3,170.8,1
2024-05-06,2024,Delhi,Anand Vihar,125.6,274.1,259,Pre-monsoon,0,Vehicular emissions,133.71633879781422,95.8,209.1,1
2024-05-07,2024,Delhi,Anand Vihar,100.2,223.0,142,Pre-monsoon,0,Dust + construction,133.71633879781422,76.4,170.0,1
2024-05-08,2024,Delhi,Anand Vihar,135.0,312.0,290,Pre-monsoon,0,Dust + construction,133.71633879781422,103.0,238.0,1
2024-05-09,2024,Delhi,Anand Vihar,101.1,214.0,172,Pre-monsoon,0,Vehicular emissions,133.71633879781422,77.1,163.2,1
2024-05-10,2024,Delhi,Anand Vihar,111.3,245.6,147,Pre-monsoon,0,Dust + construction,133.71633879781422,84.9,187.3,1
2024-05-11,2024,Delhi,Anand Vihar,155.6,295.2,236,Pre-monsoon,0,Vehicular emissions,133.71633879781422,118.7,225.2,1
2024-05-12,2024,Delhi,Anand Vihar,151.2,311.8,208,Pre-monsoon,0,Vehicular emissions,133.71633879781422,115.3,237.8,1
2024-05-13,2024,Delhi,Anand Vihar,147.6,313.9,231,Pre-monsoon,0,Vehicular emissions,133.71633879781422,112.6,239.5,1
2024-05-14,2024,Delhi,Anand Vihar,124.2,257.0,237,Pre-monsoon,0,Vehicular emissions,133.71633879781422,94.7,196.0,1
2024-05-15,2024,Delhi,Anand Vihar,98.1,216.5,180,Pre-monsoon,0,Dust + construction,133.71633879781422,74.8,165.1,1
2024-05-16,2024,Delhi,Anand Vihar,121.4,222.9,290,Pre-monsoon,0,Vehicular emissions,133.71633879781422,92.6,170.0,1
2024-05-17,2024,Delhi,Anand Vihar,128.5,262.9,260,Pre-monsoon,0,Vehicular emissions,133.71633879781422,98.0,200.5,1
2024-05-18,2024,Delhi,Anand Vihar,122.2,232.9,202,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.2,177.6,1
2024-05-19,2024,Delhi,Anand Vihar,120.1,234.0,272,Pre-monsoon,0,Vehicular emissions,133.71633879781422,91.6,178.5,1
2024-05-20,2024,Delhi,Anand Vihar,165.2,299.0,288,Pre-monsoon,0,Vehicular emissions,133.71633879781422,126.0,228.1,1
2024-05-21,2024,Delhi,Anand Vihar,144.2,285.3,283,Pre-monsoon,0,Vehicular emissions,133.71633879781422,110.0,217.6,1
2024-05-22,2024,Delhi,Anand Vihar,150.2,315.7,278,Pre-monsoon,0,Vehicular emissions,133.71633879781422,114.6,240.9,1
2024-05-23,2024,Delhi,Anand Vihar,149.1,291.6,267,Pre-monsoon,0,Vehicular emissions,133.71633879781422,113.7,222.4,1
2024-05-24,2024,Delhi,Anand Vihar,142.6,286.7,226,Pre-monsoon,0,Vehicular emissions,133.71633879781422,108.8,218.7,1
2024-05-25,2024,Delhi,Anand Vihar,152.4,355.7,289,Pre-monsoon,0,Dust + construction,133.71633879781422,116.3,271.4,1
2024-05-26,2024,Delhi,Anand Vihar,148.5,289.9,211,Pre-monsoon,0,Vehicular emissions,133.71633879781422,113.3,221.2,1
2024-05-27,2024,Delhi,Anand Vihar,131.2,298.7,213,Pre-monsoon,0,Dust + construction,133.71633879781422,100.1,227.9,1
2024-05-28,2024,Delhi,Anand Vihar,95.8,177.3,170,Pre-monsoon,0,Vehicular emissions,133.71633879781422,73.1,135.3,1
2024-05-29,2024,Delhi,Anand Vihar,85.4,189.4,135,Pre-monsoon,0,Dust + construction,133.71633879781422,65.1,144.4,1
2024-05-30,2024,Delhi,Anand Vihar,158.5,317.7,239,Pre-monsoon,0,Vehicular emissions,133.71633879781422,120.9,242.3,1
2024-05-31,2024,Delhi,Anand Vihar,122.5,231.7,222,Pre-monsoon,0,Vehicular emissions,133.71633879781422,93.4,176.7,1
2024-06-01,2024,Delhi,Anand Vihar,58.8,121.2,79,Monsoon,0,Vehicular emissions,133.71633879781422,44.9,92.5,1
2024-06-02,2024,Delhi,Anand Vihar,53.7,102.3,61,Monsoon,0,Vehicular emissions,133.71633879781422,41.0,78.1,1
2024-06-03,2024,Delhi,Anand Vihar,47.1,88.0,54,Monsoon,0,Vehicular emissions,133.71633879781422,35.9,67.1,1
2024-06-04,2024,Delhi,Anand Vihar,20.0,40.9,91,Monsoon,0,Vehicular emissions,133.71633879781422,15.3,31.3,1
2024-06-05,2024,Delhi,Anand Vihar,58.5,112.4,51,Monsoon,0,Vehicular emissions,133.71633879781422,44.6,85.7,1
2024-06-06,2024,Delhi,Anand Vihar,103.4,220.2,155,Monsoon,0,Vehicular emissions,133.71633879781422,78.9,168.0,1
2024-06-07,2024,Delhi,Anand Vihar,50.6,94.0,95,Monsoon,0,Vehicular emissions,133.71633879781422,38.6,71.7,1
2024-06-08,2024,Delhi,Anand Vihar,72.9,172.5,171,Monsoon,0,Dust + construction,133.71633879781422,55.6,131.6,1
2024-06-09,2024,Delhi,Anand Vihar,47.6,101.2,95,Monsoon,0,Vehicular emissions,133.71633879781422,36.3,77.2,1
2024-06-10,2024,Delhi,Anand Vihar,68.8,136.9,152,Monsoon,0,Vehicular emissions,133.71633879781422,52.5,104.5,1
2024-06-11,2024,Delhi,Anand Vihar,22.1,44.7,82,Monsoon,0,Vehicular emissions,133.71633879781422,16.9,34.2,1
2024-06-12,2024,Delhi,Anand Vihar,87.8,160.5,196,Monsoon,0,Vehicular emissions,133.71633879781422,67.0,122.5,1
2024-06-13,2024,Delhi,Anand Vihar,80.7,174.0,179,Monsoon,0,Vehicular emissions,133.71633879781422,61.6,132.8,1
2024-06-14,2024,Delhi,Anand Vihar,105.3,249.8,169,Monsoon,0,Dust + construction,133.71633879781422,80.3,190.5,1
2024-06-15,2024,Delhi,Anand Vihar,57.4,106.2,63,Monsoon,0,Vehicular emissions,133.71633879781422,43.8,81.0,1
2024-06-16,2024,Delhi,Anand Vihar,83.6,158.6,199,Monsoon,0,Vehicular emissions,133.71633879781422,63.8,121.0,1
2024-06-17,2024,Delhi,Anand Vihar,62.7,125.4,168,Monsoon,0,Vehicular emissions,133.71633879781422,47.8,95.6,1
2024-06-18,2024,Delhi,Anand Vihar,88.1,208.5,158,Monsoon,0,Dust + construction,133.71633879781422,67.2,159.0,1
2024-06-19,2024,Delhi,Anand Vihar,115.7,224.0,147,Monsoon,0,Vehicular emissions,133.71633879781422,88.3,171.0,1
2024-06-20,2024,Delhi,Anand Vihar,97.9,231.3,194,Monsoon,0,Dust + construction,133.71633879781422,74.7,176.5,1
2024-06-21,2024,Delhi,Anand Vihar,94.8,211.3,186,Monsoon,0,Dust + construction,133.71633879781422,72.3,161.1,1
2024-06-22,2024,Delhi,Anand Vihar,68.6,155.4,147,Monsoon,0,Dust + construction,133.71633879781422,52.3,118.5,1
2024-06-23,2024,Delhi,Anand Vihar,93.2,202.7,115,Monsoon,0,Vehicular emissions,133.71633879781422,71.1,154.6,1
2024-06-24,2024,Delhi,Anand Vihar,79.8,183.4,146,Monsoon,0,Dust + construction,133.71633879781422,60.9,140.0,1
2024-06-25,2024,Delhi,Anand Vihar,134.3,316.0,253,Monsoon,0,Dust + construction,133.71633879781422,102.4,240.9,1
2024-06-26,2024,Delhi,Anand Vihar,65.0,132.6,116,Monsoon,0,Vehicular emissions,133.71633879781422,49.6,101.2,1
2024-06-27,2024,Delhi,Anand Vihar,43.9,90.8,52,Monsoon,0,Vehicular emissions,133.71633879781422,33.5,69.3,1
2024-06-28,2024,Delhi,Anand Vihar,66.6,155.1,125,Monsoon,0,Dust + construction,133.71633879781422,50.8,118.3,1
2024-06-29,2024,Delhi,Anand Vihar,84.7,157.4,183,Monsoon,0,Vehicular emissions,133.71633879781422,64.6,120.0,1
2024-06-30,2024,Delhi,Anand Vihar,110.1,229.0,181,Monsoon,0,Vehicular emissions,133.71633879781422,84.0,174.7,1
2024-07-01,2024,Delhi,Anand Vihar,52.9,101.4,91,Monsoon,0,Vehicular emissions,133.71633879781422,40.4,77.4,1
2024-07-02,2024,Delhi,Anand Vihar,60.5,134.8,134,Monsoon,0,Dust + construction,133.71633879781422,46.1,102.7,1
2024-07-03,2024,Delhi,Anand Vihar,59.4,114.5,57,Monsoon,0,Vehicular emissions,133.71633879781422,45.3,87.3,1
2024-07-04,2024,Delhi,Anand Vihar,91.9,170.9,152,Monsoon,0,Vehicular emissions,133.71633879781422,70.1,130.4,1
2024-07-05,2024,Delhi,Anand Vihar,43.1,81.9,79,Monsoon,0,Vehicular emissions,133.71633879781422,32.9,62.5,1
2024-07-06,2024,Delhi,Anand Vihar,82.5,195.8,126,Monsoon,0,Dust + construction,133.71633879781422,62.9,149.3,1
2024-07-07,2024,Delhi,Anand Vihar,97.2,190.7,143,Monsoon,0,Vehicular emissions,133.71633879781422,74.1,145.4,1
2024-07-08,2024,Delhi,Anand Vihar,64.0,143.9,179,Monsoon,0,Dust + construction,133.71633879781422,48.8,109.7,1
2024-07-09,2024,Delhi,Anand Vihar,25.5,50.7,94,Monsoon,0,Vehicular emissions,133.71633879781422,19.5,38.8,1
2024-07-10,2024,Delhi,Anand Vihar,99.5,203.8,187,Monsoon,0,Vehicular emissions,133.71633879781422,75.9,155.5,1
2024-07-11,2024,Delhi,Anand Vihar,123.6,295.6,219,Monsoon,0,Dust + construction,133.71633879781422,94.3,225.5,1
2024-07-12,2024,Delhi,Anand Vihar,55.3,100.0,67,Monsoon,0,Vehicular emissions,133.71633879781422,42.2,76.3,1
2024-07-13,2024,Delhi,Anand Vihar,71.9,163.7,174,Monsoon,0,Dust + construction,133.71633879781422,54.8,124.8,1
2024-07-14,2024,Delhi,Anand Vihar,59.7,118.4,87,Monsoon,0,Vehicular emissions,133.71633879781422,45.5,90.2,1
2024-07-15,2024,Delhi,Anand Vihar,47.9,93.0,88,Monsoon,0,Vehicular emissions,133.71633879781422,36.5,70.9,1
2024-07-16,2024,Delhi,Anand Vihar,74.0,144.8,141,Monsoon,0,Vehicular emissions,133.71633879781422,56.4,110.4,1
